Brand,Description,Size,Annual_Demand,PurchasePrice,Holding_Cost,EOQ,ABC_Category,Review_Frequency,Safety_Stock_Level,Inventory_Strategy
58,Gekkeikan Black & Gold Sake,750mL,288,9.28,1.8559999999999999,393.9192985791677,B,Monthly,Medium,Moderate control
60,Canadian Club 1858 VAP,750mL,124,7.4,1.4800000000000002,289.454286172763,C,Quarterly,Low,"Simple control, bulk ordering"
61,Margaritaville Silver,750mL,24,10.6,2.12,106.3990353197863,C,Quarterly,Low,"Simple control, bulk ordering"
62,Herradura Silver Tequila,750mL,162,28.67,5.734000000000001,168.08488562545935,B,Monthly,Medium,Moderate control
63,Herradura Reposado Tequila,750mL,131,30.46,6.0920000000000005,146.64109687771594,B,Monthly,Medium,Moderate control
72,No. 3 London Dry Gin,750mL,19,26.11,5.222,60.31958803004956,C,Quarterly,Low,"Simple control, bulk ordering"
75,Three Olives Tomato Vodka,750mL,3,10.94,2.188,37.028572395848435,C,Quarterly,Low,"Simple control, bulk ordering"
77,Three Olives Espresso Vodka,750mL,908,10.39,2.0780000000000003,661.0284517719135,A,Weekly,High,"Tight control, frequent replenishment"
79,Three Olives Loopy Vodka,750mL,416,9.62,1.924,464.9905549752771,B,Monthly,Medium,Moderate control
82,Hundred Acre Ark Vy Cab Svgn,750mL,3,248.34,49.668000000000006,7.771812083337439,C,Quarterly,Low,"Simple control, bulk ordering"
86,Don Julio Real Tequila,750mL,1,236.21,47.242000000000004,4.600826566733342,C,Quarterly,Low,"Simple control, bulk ordering"
100,Chivas Royal Salute,750mL,7,120.29,24.058000000000003,17.057652384289202,C,Quarterly,Low,"Simple control, bulk ordering"
104,Mr Boston Wild Cherry Brandy,Liter,19,6.42,1.284,121.64500724716157,C,Quarterly,Low,"Simple control, bulk ordering"
106,Mr Boston Peach Schnapps,Liter,141,3.4,0.68,455.3602323177449,C,Quarterly,Low,"Simple control, bulk ordering"
108,Mr Boston Peppermint Schnaps,Liter,13,4.77,0.954,116.73403266207916,C,Quarterly,Low,"Simple control, bulk ordering"
109,Mr Boston Blue Curacao,Liter,29,4.95,0.9900000000000001,171.1517726841568,C,Quarterly,Low,"Simple control, bulk ordering"
111,Mr Boston Creme de Menthe Gr,Liter,13,4.7,0.9400000000000001,117.60011579094025,C,Quarterly,Low,"Simple control, bulk ordering"
112,Mr Boston Cr de Cacao White,Liter,23,4.7,0.9400000000000001,156.42277681457702,C,Quarterly,Low,"Simple control, bulk ordering"
113,Mr Boston Cr de Cacao Brown,Liter,16,4.84,0.968,128.564869306645,C,Quarterly,Low,"Simple control, bulk ordering"
114,Mr Boston Creme de Banana,Liter,24,5.11,1.022,153.24283327163909,C,Quarterly,Low,"Simple control, bulk ordering"
115,Belvedere Vodka,Liter,623,21.37,4.274,381.7919475963513,A,Weekly,High,"Tight control, frequent replenishment"
120,Tarantula Azul Tequila Gift,750mL,30,10.44,2.088,119.86582537134603,C,Quarterly,Low,"Simple control, bulk ordering"
122,DeKuyper Mixed Berry Medley,750mL,4,7.96,1.592,50.12547071170855,C,Quarterly,Low,"Simple control, bulk ordering"
123,Van Winkle Special Rsv 10 Yr,750mL,2,38.75,7.75,16.064386578049977,C,Quarterly,Low,"Simple control, bulk ordering"
126,Grey Goose Vodka,Liter,1968,20.14,4.0280000000000005,698.9849357583327,A,Weekly,High,"Tight control, frequent replenishment"
