Store,SalesQuantity,SalesDollars
1,82750,975115.86
2,26740,402401.61
3,2245,30556.67
4,20325,230082.72
5,8643,93172.39
6,33229,458731.26
7,28332,381052.3
8,19327,245265.61
9,33144,405376.85
10,91576,1154926.8
11,55191,791786.64
12,24637,317726.67
13,30453,355377.15
14,58949,711060.89
15,101078,1422998.94
16,19997,248529.44
17,26307,302043.43
18,11603,164133.11
19,21623,273828.91
20,23632,259849.45
21,23727,301869.95
22,21003,248882.62
23,41069,551079.42
24,11620,129131.06
25,33018,408561.56
26,2642,33599.0
27,26066,269209.38
28,7544,89100.76
29,4447,46191.93
30,24329,287924.57
31,24497,254388.11
32,30518,393499.74
33,36751,484759.32
34,99171,1537806.51
35,16088,180839.57
36,7806,89840.08
37,5359,66599.43
38,84965,1237991.19
39,15517,194274.3
40,13424,171739.16
41,36807,471092.15
42,15682,203653.95
43,12390,134537.44
44,9575,119822.27
45,9486,97909.56
46,9885,114644.87
47,16850,219950.97
48,19638,273768.73
49,48246,660456.92
50,59756,908139.77
51,23815,285054.61
52,7846,100529.88
53,24460,282711.26
54,22224,321747.48
55,43736,662159.65
56,22678,285901.81
57,11725,131875.87
58,20203,247177.26
59,30738,384557.7
60,57756,841530.75
61,24983,324244.24
62,19453,225052.61
63,10215,118779.89
64,24857,345161.36
65,11220,145039.86
66,76814,1257824.93
67,66678,1117046.85
68,40316,540842.0599999999
69,73741,1131369.88
70,12450,141196.68
71,26208,333370.3
72,30069,348004.54
73,77848,1266850.6199999999
74,34099,423388.27
75,22142,289368.88
76,85724,1402698.59
77,19269,232314.08
78,17142,193179.93
79,25103,355114.46
